Assigned_to_Group,Category,Item,Summary,Resolution,Support_Diary,Notes,Work_Log,1CApp_Name,row_count
L1 (AVM Tools & Portals),AppLensLite,How/unable to enter efforts in AppLensLite,unable to access applens,"Dear Raja ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032772985  Request:  We understand from your description that, unable to access applens  Resolution:  Please be informed that, as discussed on IM,we request you to navigate to the below path,  Ticketing module>>>select date range>>Add non delivery activity>>Leave>>Save  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.",673898 12/26/2018 4:21:27 PM  In Progress  Subhashini S    673898 12/26/2018 4:21:17 PM  a  Subhashini S   ,how to update applens TS for long leaves,"AR_ESCALATOR 1/1/2019 2:29:56 AM  Case INC000032772985 was automatically closed on 1/1/2019 2:01:43 AM.      673898 12/26/2018 4:41:23 PM  Dear Raja ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032772985  Request:  We understand from your description that, unable to access applens  Resolution:  Please be informed that, as discussed on IM,we request you to navigate to the below path,  Ticketing module>>>select date range>>Add non delivery activity>>Leave>>Save  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.      Subhashini S   ",AppLensLite,457
L1 (AVM Tools & Portals),Applens,How to update Timesheet Approver,Need assisstance in AppLensLiteProject setup,"Dear Premkumar ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032770933  Request:  We understand from your description that, Need assisstance in AppLensLiteProject setup  Resolution:  Please be informed that, as discussed on IM,Lead self service tab will be enabled when you are tagged as timesheet approver for atleast 1 user in AppLens.  Request you to navigate to the below path to change/tag the timesheet approver,  Admin Console>>User management>>Ticketing module users>>search the id for which you want to be timesheet approver >>Change the TSApprover id as yours>>Save  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.",673898 12/26/2018 3:15:47 PM  In Progress  Subhashini S   ,We got proxy admin access for applens but Leave self service option is missing in the App Lens.  https://applenslite.cognizant.com/,"AR_ESCALATOR 1/1/2019 2:35:01 AM  Case INC000032770933 was automatically closed on 1/1/2019 2:01:43 AM.      673898 12/26/2018 3:23:50 PM  Dear Premkumar ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032770933  Request:  We understand from your description that, Need assisstance in AppLensLiteProject setup  Resolution:  Please be informed that, as discussed on IM,Lead self service tab will be enabled when you are tagged as timesheet approver for atleast 1 user in AppLens.  Request you to navigate to the below path to change/tag the timesheet approver,  Admin Console>>User management>>Ticketing module users>>search the id for which you want to be timesheet approver >>Change the TSApprover id as yours>>Save  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.  Subhashini S   ",AppLensLite,458
AppLensLite_L2,AppLensLite,Issues,Issues in DEBT in AppLensLite,Keyword: Debt identification  Issue : Unable to save the debt identification  Cause code : Incorrect SP  Resolution : SP changed,439430 12/27/2018 5:30:34 PM  In Progress  Meenushree M    439430 12/27/2018 5:26:50 PM  In Progress  Meenushree M    439430 12/27/2018 11:01:03 AM  .  Meenushree M    439430 12/27/2018 11:00:56 AM  .  Meenushree M    439430 12/27/2018 10:44:09 AM  In Progress  Meenushree M    439430 12/26/2018 7:24:26 PM  In Progress  Meenushree M    439430 12/26/2018 6:09:18 PM  .  Meenushree M    439430 12/26/2018 6:09:09 PM  In Progress  Meenushree M    437595 12/26/2018 4:11:31 PM  In Progress  Vijayalakshmi A    674096 12/26/2018 4:07:22 PM  /  Rameezh KA   ,"I'm unable to do debt identification. The page is not going beyond that to debt control.  Applens Admin Console - > Debt Management - > Debt Identification  After checking the Data Dictionary and the dates , it gets saved. but when I click Save and Next it is asking me ""Please fill all details to proceed further"". Unable to proceed with Data Dictionary. Kindly help. Please note I'm not able to click on Debt control directly also.","AR_ESCALATOR 1/3/2019 4:15:17 AM  Case INC000032770769 was automatically closed on 1/3/2019 2:00:56 AM.      439430 12/27/2018 5:32:27 PM  Hi Lakshmi Prabha  Issue has been resolved.  As per your confirmation resolving the gsd   Regards, Applensteam  Meenushree M    439430 12/27/2018 5:27:12 PM  Hi Lakshmi Prabha  As discussed kindly check the debt identification configuration now and confirm us on the same.   Regards, Applensteam  Meenushree M    SSOneC1697PROD 12/27/2018 3:39:15 PM  Is there any update on this ?  Lakshmi Prabha Rajagopal    SSOneC1697PROD 12/27/2018 9:16:43 AM  The issue is not resolved. Please fix it. I see the issue still remains.  Lakshmi Prabha Rajagopal    439430 12/26/2018 7:26:08 PM  Hi Lakshmi Prabha   Please be informed that Issue on the Debt identification has been fixed . Please navigate to 3rd tab Debt control and fill the details and save.   Kindly let u s know if you are still finding any issues on it.    Regards, Applensteam  Meenushree M    675017 12/26/2018 6:00:30 PM  Hai Team,  When user fill all details in Debt Identification and click save button . It displays ""Debt details saved successfully"".  But after navigate to Debt control it display error message as ""Please fill all mandatory field""  PFA.  Please  assist.  Dhilip Kumar   ",AppLensLite,459
AVMPMO_L2,AVM PMO,Unable to save SO details,AVM PMO - Unable to save SO details,,"673898 12/26/2018 2:59:37 PM  Hello Team,  Please move the below SO#30613421  to the Status as""1.2 Pending Demand Validation and the action owner as ""Pending With OPS"".  Subhashini S   ","Hello Team,  Please move the below SO#30613421  to the Status as""1.2 Pending Demand Validation and the action owner as ""Pending With OPS"".  Thanks","AR_ESCALATOR 1/1/2019 2:39:56 AM  Case INC000032769797 was automatically closed on 1/1/2019 2:01:43 AM.      561855 12/26/2018 3:10:02 PM  Hi Raja,  Status update has been done for the requested SO. Kindly check and let us know if you have any queries.  Thanks,   Swarnalatha Balakrishnamoorthy    561855 12/26/2018 3:09:05 PM  WIP  Swarnalatha Balakrishnamoorthy   ",AVMPMO,460
AppLensLite_L2,AppLensLite,How/Unable to upload tickets,ticket upload is not working in applens,Keywords : Ticket Upload Issue Notes: Ticket upload is not working properly Cause Code : exception in the store procedure [AVL].[tk_importticketdumpdetails].  Resolution Code : work around changes provided in [AVL].[tk_importticketdumpdetails].,"673941 12/28/2018 6:39:01 PM  ..  Harish R    436569 12/27/2018 4:16:18 PM  //  Paramasivam Krishnamoorthy    436569 12/27/2018 4:16:09 PM  //  Paramasivam Krishnamoorthy    675017 12/27/2018 4:14:19 PM  Hai team,  User upload a dump and Upload successfull message is displayed.  But it is not reflected in UI and backend .  Please assist.   Dhilip Kumar    675017 12/27/2018 4:13:46 PM  //  Dhilip Kumar    673898 12/26/2018 4:25:57 PM  In Progress  Subhashini S    698509 12/26/2018 4:22:39 PM  Hi Team,  Please check and do the needful.  Warm Regards,  1C Simplified L0 Support   Mrujool Kansara N   ",This is happening 3rd time for me and everytime I need to raise a GSD to get this fixed. Last time I was asked to download fresh template when I try to upload the tickets and I did the same now. It is showing pop up message that it is uploaded successfully but in the error log I don't see any record for today and the tickets are not showing in the timesheet entry as well. Please advise what is going wrong. Thank you.,"AR_ESCALATOR 1/5/2019 5:17:49 AM  Case INC000032769287 was automatically closed on 1/5/2019 2:01:16 AM.      673941 12/28/2018 7:45:50 PM  Work log updated from Original Incident:  Dear Sender ,  Ticket Upload issue is fixed.Please raise new GSD for clarification.  Regards  Harish R    675017 12/27/2018 4:13:10 PM  Hai team,  User upload a dump and Upload successfull message is displayed.  But it is not reflected in UI and backend .  Please assist.  Dhilip Kumar    675017 12/26/2018 6:22:02 PM  Dear Anupriya,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032769287  Request:  We understand from your description that, ticket upload is not working in applens  Resolution:  Please be informed that, As we try to reach you through skype , but you are not available. kindly let us know once you are available for screen sharing .  We are placing the ticket in pending for your confirmation  Kindly update on the ticket by logging into https://gsd.cognizant.com  Regards, AVMCoETechDesk.   Dhilip Kumar    Sinnochamps 12/26/2018 2:50:38 PM  Dear Anupriya,  Thank you for reaching IT Application Support.   Our Support engineer Mrujool N Kansara has started working on your request and will share the update as soon as possible.   Mrujool N Kansara shall reach you, if any additional information is required.   Regards, IT Application Support.  S innochamps    Sinnochamps 12/26/2018 2:50:38 PM  Dear Anupriya,  Your request has been assigned to one of our team members.  S innochamps   ",AppLensLite,461
L1 (AVM Tools & Portals),Applens,Others,Project migration in AppLensLite,"Hi Chithiraisamy,  Thank you for contacting AVMCoETechDesk  This is with reference to the Ticket number: ""INC000032769196"".  Issue Description: Previous project reflecting in App Lens  Information Provided:  Please be informed that, as checked from our end we could see that you are allocated to two project 1000075431 and 1000165999 till 31 DEC 2019 due to which these two projects were reflecting in App Lens.  We are placing this case in pending for your update.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk",439435 12/27/2018 10:17:54 AM  In Progress  Vishnu Priya K    439435 12/26/2018 2:43:55 PM  In Progress  Vishnu Priya K    673898 12/26/2018 2:42:37 PM  In Progress  Subhashini S   ,"Hi Team,  I am currently mapped to Metlife project, but in applens, it is still showing my previous project details (Guardian Life Insurance Company), can you please help on this!","AR_ESCALATOR 1/3/2019 4:17:58 AM  Case INC000032769196 was automatically closed on 1/3/2019 2:00:56 AM.      439435 12/27/2018 10:29:56 AM  Hi Chithiraisamy  Please be informed that as discussed on Skype, project details will be reflecting based on active allocation in ESA.  To remove the allocation, request you to contact the ESA PM  We are resolving the ticket from our end.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk   Vishnu Priya K    SSOneC1697PROD 12/27/2018 10:17:08 AM  Hi Team,  Can you please remove the project (1000075431 ) , I am not part of this project anymore.  Thanks, Chitti...  Chithiraisamy Swaminathan    439435 12/26/2018 4:17:46 PM  Hi Chithiraisamy,  Thank you for contacting AVMCoETechDesk  This is with reference to the Ticket number: ""INC000032769196"".  Issue Description: Previous project reflecting in App Lens  Information Provided:  Please be informed that, as checked from our end we could see that you are allocated to two project 1000075431 and 1000165999 till 31 DEC 2019 due to which these two projects were reflecting in App Lens.  We are placing this case in pending for your update.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk   Vishnu Priya K   ",AppLensLite,462
AVMPMO_L2,AVM PMO,Reports issue in AVM PMO,AVM PMO - Reports issue in AVM PMO,,561855 12/26/2018 3:06:32 PM  WIP  Swarnalatha Balakrishnamoorthy    673898 12/26/2018 2:42:57 PM  Kindly change the status of SO 30676531 and 30676532 to 1.2 pending demand validation  Subhashini S   ,Kindly change the status of SO 30676531 and 30676532 to 1.2 pending demand validation,"AR_ESCALATOR 1/1/2019 2:41:09 AM  Case INC000032769096 was automatically closed on 1/1/2019 2:01:43 AM.      561855 12/26/2018 3:07:29 PM  Hi Mohanapriya,  Status update has been done for the requested SOs. Kindly check and let us know if you have any queries.  Thanks,   Swarnalatha Balakrishnamoorthy   ",AVMPMO,463
AppLensLite_L2,AppLensLite,How/Unable to upload tickets,Project migration in AppLensLite,Keywords : Ticket Upload Issue Notes: Ticket upload is not working properly Cause Code : exception in the store procedure [AVL].[tk_importticketdumpdetails].  Resolution Code : work around changes provided in [AVL].[tk_importticketdumpdetails].,"673941 12/28/2018 6:35:22 PM  .  Harish R    674096 12/26/2018 3:25:04 PM  /  Rameezh KA    674096 12/26/2018 3:24:42 PM  /  Rameezh KA    673898 12/26/2018 2:55:24 PM  Hi Team,  As checked with user,while uploading the ticket ,the ticket upload was successful but the same is not reflecting in the Error Log.  Project id:1000214354  Please assist the user.  Regards, AVMCoETechDesk.  Subhashini S    673898 12/26/2018 2:25:42 PM  In Progress  Subhashini S   ",Dump is getting imported successfully but the error log doesn't shows the log.  Attached is the dump used. Now don't know whether all tickets were imported or not!,"AR_ESCALATOR 1/5/2019 5:17:58 AM  Case INC000032768803 was automatically closed on 1/5/2019 2:01:16 AM.      673941 12/28/2018 7:45:46 PM  Work log updated from Original Incident:  Dear Sender ,  Ticket Upload issue is fixed.Please raise new GSD for clarification.  Regards  Harish R   ",AppLensLite,464
AppLensLite_L2,AppLensLite,How/Unable to upload tickets,Tickets are not getting populated in AppLensLite,Keywords : Ticket Upload Issue Notes: Ticket upload is not working properly Cause Code : exception in the store procedure [AVL].[tk_importticketdumpdetails].  Resolution Code : work around changes provided in [AVL].[tk_importticketdumpdetails].,"673941 12/28/2018 7:04:15 PM  In Progress  Harish R    673941 12/28/2018 6:45:33 PM  .  Harish R    436569 12/27/2018 2:31:43 PM  //  Paramasivam Krishnamoorthy    439430 12/26/2018 4:07:57 PM  .  Meenushree M    439430 12/26/2018 4:07:44 PM  In Progress  Meenushree M    439435 12/26/2018 3:25:32 PM  Hi Team,  User uploaded the attached ticket dump in app lens and got Upload successful but the tickets were not uploaded in the portal and also user did not receive any notification in error log.  Project ID : 1000150614  PFA mail for reference  Warm Regards, AVMCoETechDesk   Vishnu Priya K    673898 12/26/2018 1:59:52 PM  In Progress  Subhashini S   ","when uploading tickets in Applens , it says uploaded successfully .. but tickets are not populated for entering timesheet. There is no Error in the error log","AR_ESCALATOR 1/5/2019 5:18:17 AM  Case INC000032768189 was automatically closed on 1/5/2019 2:01:16 AM.      673941 12/28/2018 7:04:26 PM  Hi,  Issue is fixed.Kindly check now and reach us in case of further issues.  Thanks,   Harish R    SSOneC1697PROD 12/27/2018 6:27:09 PM  any update on this?  SHARMILA JAISANKAR   ",AppLensLite,465
L1 (AVM Tools & Portals),AppLens,How to update Timesheet Approver,Unable to add efforts in applens,"Dear Gayathri,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032768098  Request:  We understand from your description that,Unable to add efforts in applens  Resolution:  Please be informed that,As we check from our end , Your Timesheet for monday (24/12/2018) was in freezed status. So your timesheet approver has to unfreeze the timesheet.  As per the confirmation on the call/IM, we are changing the status of the case as ""resolved"".  Kindly reach us for further queries.  Regards, AVMCoETechDesk.",673898 12/26/2018 2:11:16 PM  In Progress  Subhashini S   ,Unable to add efforts for 24/12/2018 (Monday) and 20/12/2018 (Thursday),"AR_ESCALATOR 1/1/2019 2:44:47 AM  Case INC000032768098 was automatically closed on 1/1/2019 2:01:43 AM.      675017 12/26/2018 3:58:07 PM  Dear Gayathri,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032768098  Request:  We understand from your description that,Unable to add efforts in applens  Resolution:  Please be informed that,As we check from our end , Your Timesheet for monday (24/12/2018) was in freezed status. So your timesheet approver has to unfreeze the timesheet.  As per the confirmation on the call/IM, we are changing the status of the case as ""resolved"".  Kindly reach us for further queries.  Regards, AVMCoETechDesk.   Dhilip Kumar   ",AppLensLite,466
L1 (AVM Tools & Portals),Applens,Getting error while mapping columns,Getting error while mapping columns in AppLensLite,"Dear Prema,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032766634  Request:  We understand from your description that, Getting error while mapping columns in AppLensLite  Resolution:  Please be informed that, For add column in source coloumn ,Kindly navigate to   ITSM configuration --> column mapping->Reupload the updated Dump.  We are placing the ticket in pending for your confirmation  Kindly update on the ticket by logging into https://gsd.cognizant.com  Regards, AVMCoETechDesk.",673898 12/26/2018 1:17:28 PM  In Progress  Subhashini S   ,"Can you please add ''Resolved date"" option in source column field under ITSM configuration in App lens. Project - Comcast L2.5 operation   ITSM configuration --> column mapping --> Source column","AR_ESCALATOR 12/31/2018 6:24:07 PM  Case INC000032766634 was automatically Closed on 12/31/2018 6:19:13 PM,Since no information/Response provided by the user.      AR_ESCALATOR 12/28/2018 5:54:22 PM  Reminder Sent 2      AR_ESCALATOR 12/27/2018 4:05:51 PM  Reminder Sent 1      675017 12/26/2018 3:12:52 PM  Dear Prema,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032766634  Request:  We understand from your description that, Getting error while mapping columns in AppLensLite  Resolution:  Please be informed that, For add column in source coloumn ,Kindly navigate to   ITSM configuration --> column mapping->Reupload the updated Dump.  We are placing the ticket in pending for your confirmation  Kindly update on the ticket by logging into https://gsd.cognizant.com  Regards, AVMCoETechDesk.    Dhilip Kumar   ",AppLensLite,467
AVMPMO_L2,AVM PMO,Reports issue in AVM PMO,AVM PMO - Reports issue in AVM PMO,,"561855 12/26/2018 1:28:55 PM  WIP  Swarnalatha Balakrishnamoorthy    673898 12/26/2018 1:01:24 PM  Hi Team,  Please change the status as 3.3 Awaiting COO Approval-FTE for the attached SO's  Subhashini S   ","Hi Team,  Please change the status as 3.3 Awaiting COO Approval-FTE for the attached SO's  Thanks, Umabharathy","AR_ESCALATOR 1/1/2019 2:49:48 AM  Case INC000032766417 was automatically closed on 1/1/2019 2:01:43 AM.      561855 12/26/2018 1:37:05 PM  Hi Uma Bharathy,  Status update has been done as requested for the given SOs. Kindly check and let us know if you have any queries.  Thanks,   Swarnalatha Balakrishnamoorthy   ",AVMPMO,468
AppLensLite_L2,AppLensLite,Performance Issue,applense is not opening up,"Hi Sutapa,  Issue has been fixed please login to https://applens.cognizant.com to view your project.   Regards, Applensteam.","439430 12/28/2018 3:10:51 PM  In Progress  Meenushree M    436569 12/27/2018 2:11:53 PM  //  Paramasivam Krishnamoorthy    436569 12/27/2018 2:11:45 PM  //  Paramasivam Krishnamoorthy    673898 12/27/2018 1:44:22 PM  Hi Team,  As checked from our end,the PM -120634 of the project -1000213621 is unable to view the Admin console page since it throws the error as ""Access denie.Please reach your ESA Project Manager""  As checked from back end,the user is mapped to the respective project and account in EmployeeCustomerMapping and EmployeeProjectMapping but still PM is unable to view admin console page.  Project id:1000213621  Please assist the user.   Regards, AVMCoETechDesk.  Subhashini S    673898 12/27/2018 1:37:31 PM  a  Subhashini S    673898 12/27/2018 1:37:24 PM  In Progress  Subhashini S    673898 12/27/2018 11:09:05 AM  In Progress  Subhashini S    673898 12/26/2018 7:28:27 PM  In Progress  Subhashini S    673898 12/26/2018 6:47:21 PM  a  Subhashini S    673898 12/26/2018 6:09:47 PM  In Progress  Subhashini S    439435 12/26/2018 1:17:52 PM  In Progress  Vishnu Priya K    673898 12/26/2018 1:09:54 PM  In Progress  Subhashini S   ",Applense is not opening up for the below URL:  https://applenslite.cognizant.com/  Please look into this asap.,"AR_ESCALATOR 1/4/2019 4:39:02 AM  Case INC000032766370 was automatically closed on 1/4/2019 2:00:42 AM.      439430 12/28/2018 3:13:53 PM  Hi Sutapa,  Issue has been fixed please login to https://applens.cognizant.com to view your project.   Regards, Applensteam.  Meenushree M    673898 12/27/2018 1:20:51 PM  Hi Sutapa,  Thank you for contacting AVMCoETechDesk  This is with reference to the Ticket number: ""INC000032766370"".  Issue Description: Applens is not opening up  Information Provided:  Please be informed that, we tried reaching 120634 but he is not available ,please update us once he is available for screen sharing.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk  Subhashini S    673898 12/27/2018 11:10:25 AM  Hi Sutapa ,  As discussed on IM,please update us once you are available for screen sharing session.  Regards, AVMCoETechDesk.  Subhashini S    673898 12/26/2018 7:29:13 PM  Hi Sutapa,  Thank you for contacting AVMCoETechDesk  This is with reference to the Ticket number: ""INC000032766370"".  Issue Description: Applens is not opening up  Information Provided:  Please be informed that, we request you to share us the screenshot of your PM in AppLens to proceed further.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk  Subhashini S    235185 12/26/2018 6:09:23 PM  Our project manager (Id- 120634- Admin) is also unable to login to Applens, it's showing access denied.  Sutapa Majumder    439435 12/26/2018 4:59:34 PM  Hi Sutapa,  Thank you for contacting AVMCoETechDesk  This is with reference to the Ticket number: ""INC000032766370"".  Issue Description: Applens is not opening up  Information Provided:  Please be informed that, as checked from our end we could see that the ticketing module in admin console is showing as 20% due to which the ticketing module is not accessible.  As checked, 120634  -- Admin , 197121 -- Proxy admin is having role who could make the ticketing module as 100% so that the team can use ticketing module.  Navigation : https://applens.cognizant.com --> App Lens Admin Console --> Ticketing module --> Complete the data --> Save.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk   Vishnu Priya K   ",AppLensLite,469
L1 (AVM Tools & Portals),AppLens,How to update Timesheet Approver,unable to extract report in Applens,"Dear  Anand,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032765396  Request:  We understand from your description that,unable to extract report in Applens  Resolution:  Please be informed that,request you to raise a request via Identity join DL option for the below DL.  AVMQlikLicense (Cognizant)   we are changing the status of the case as ""resolved"".  Kindly reach us for further queries.  Regards, AVMCoETechDesk.",673898 12/26/2018 1:01:02 PM  In Progress  Subhashini S   ,"I am unable to extract the time sheet reports from Applens portal.  When I click on ""Timesheet Reports""link, then it gives me an error ""Access is denied"". Please fix this issue at the earliest on priority. Refer the attached error screenshot.  Thanks, Anand","AR_ESCALATOR 1/1/2019 2:52:52 AM  Case INC000032765396 was automatically closed on 1/1/2019 2:01:43 AM.      675017 12/26/2018 1:09:34 PM  Dear  Anand,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032765396  Request:  We understand from your description that,unable to extract report in Applens  Resolution:  Please be informed that,request you to raise a request via Identity join DL option for the below DL.  AVMQlikLicense (Cognizant)   we are changing the status of the case as ""resolved"".  Kindly reach us for further queries.  Regards, AVMCoETechDesk.   Dhilip Kumar   ",AppLensLite,470
C2S portal L1,Applens,Need access to Service Analytics Dashboard,Service analytics dashboard,"Dear Sreenath ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032764141  Request:  We understand from your description that, Service analytics dashboard  Resolution:  Please be informed that, Help with us by attaching the service report file and Screenshot of that graphical value.  We are placing the ticket in pending for your confirmation  Kindly update on the ticket by logging into https://gsd.cognizant.com  Regards, AVMCoETechDesk.",675017 12/27/2018 11:09:12 AM  //  Dhilip Kumar    675017 12/26/2018 1:09:57 PM  //  Dhilip Kumar    673898 12/26/2018 12:15:06 PM   Progress  Subhashini S   ,"Hi Team,  Productivity of services in the   ticket dump from service analytics tool is not matching with Graphical representation. Could you please share if any logic used in this?","AR_ESCALATOR 1/2/2019 11:56:55 AM  Case INC000032764141 was automatically Closed on 1/2/2019 11:50:42 AM,Since no information/Response provided by the user.      AR_ESCALATOR 12/31/2018 11:44:00 AM  Reminder Sent 2      AR_ESCALATOR 12/28/2018 11:16:09 AM  Reminder Sent 1      675017 12/27/2018 11:12:16 AM  Dear Sreenath ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032764141  Request:  We understand from your description that, Service analytics dashboard  Resolution:  Please be informed that, Help with us by attaching the service report file and Screenshot of that graphical value.  We are placing the ticket in pending for your confirmation  Kindly update on the ticket by logging into https://gsd.cognizant.com  Regards, AVMCoETechDesk.   Dhilip Kumar   ",AppLensLite,471
L1 (AVM Tools & Portals),AppLens,How to update Timesheet Approver,Applens exclude users from effort logging,"Dear Srinivasan,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032763797  Request:  We understand from your description that, Applens exclude users from effort logging  Resolution:  Please be informed that, defaulters will be listed under Timesheet approver.If Istracking option is enabled, the user will get Mail . when they are not submiiting timesheet.  As per the confirmation on the call/IM, we are changing the status of the case as ""resolved""  Kindly update on the ticket by logging into https://gsd.cognizant.com  Regards, AVMCoETechDesk.",675017 12/27/2018 12:52:02 PM  //  Dhilip Kumar    673898 12/26/2018 12:03:33 PM  In Progress  Subhashini S   ,Applens excluded users are showing in defaulters list,"AR_ESCALATOR 1/3/2019 4:28:08 AM  Case INC000032763797 was automatically closed on 1/3/2019 2:00:56 AM.      675017 12/27/2018 12:58:48 PM  Dear Srinivasan,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032763797  Request:  We understand from your description that, Applens exclude users from effort logging  Resolution:  Please be informed that, defaulters will be listed under Timesheet approver.If Istracking option is enabled, the user will get Mail . when they are not submiiting timesheet.  As per the confirmation on the call/IM, we are changing the status of the case as ""resolved""  Kindly update on the ticket by logging into https://gsd.cognizant.com  Regards, AVMCoETechDesk.  Dhilip Kumar    675017 12/26/2018 1:02:50 PM  Dear Srinivasan,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032763797  Request:  We understand from your description that, Applens exclude users from effort logging  Resolution:  Please be informed that, As we try to reach you through skype , but you are not available. kindly let us know once you are available.  Kindly attach the defaulter list and highlight the Excluded users .  We are placing the ticket in pending for your confirmation  Kindly update on the ticket by logging into https://gsd.cognizant.com  Regards, AVMCoETechDesk.   Dhilip Kumar   ",AppLensLite,472
L1 (AVM Tools & Portals),AppLensLite,Performance Issue,applens link is not working,"Hi Geetha,  Thank you for contacting AVMCoETechDesk  This is with reference to the Ticket number: ""INC000032763414"".  Issue Description: Applens link is not working  Information Provided:  As discussed on Skype, you were able to access the app lens application once after removing the exception (Connections >> LAN setting >> Advanced >> Remove  the exception)  We are resolving the ticket from our end.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk",439435 12/26/2018 12:43:23 PM  In Progress  Vishnu Priya K    673898 12/26/2018 12:04:16 PM  In Progress  Subhashini S   ,"Hi Team,  The link for applens is not working for me. can you please help me with that?  Regards, Geetha K S contact # : 8072519233","439435 12/26/2018 1:17:19 PM  Hi Geetha,  Thank you for contacting AVMCoETechDesk  This is with reference to the Ticket number: ""INC000032763414"".  Issue Description: Applens link is not working  Information Provided:  As discussed on Skype, you were able to access the app lens application once after removing the exception (Connections >> LAN setting >> Advanced >> Remove  the exception)  We are resolving the ticket from our end.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk   Vishnu Priya K   ",AppLensLite,473
AppLensLite_L2,AppLens,How to update Timesheet Approver,Access to Applens ticket upload project folder,,"673941 12/26/2018 2:33:40 PM  /  Harish R    439430 12/26/2018 1:04:18 PM  .  Meenushree M    439430 12/26/2018 12:54:20 PM  In Progress  Meenushree M    675017 12/26/2018 12:42:34 PM  Hai Team,  We check user has allocation in that project and Timesheet approver access .  Please assist.    Dhilip Kumar    673898 12/26/2018 12:02:51 PM  In Progress  Subhashini S   ","Hi,  Please provide me access to below folder for OSRAM project  \\CTSC01165028201\TicketUpload\1000223363  ""Ticket Upload"" option in Applens not working.","AR_ESCALATOR 1/1/2019 3:01:12 AM  Case INC000032763387 was automatically closed on 1/1/2019 2:01:43 AM.      673941 12/26/2018 2:35:10 PM  With your confirmation we are closing this ticket.  Thanks,  Harish R   ",AppLensLite,474
L1 (AVM Tools & Portals),AppLensLite,How to Create AppLensLite Tickets,Applens ticket not generated,"Hi Vinoth,  Thank you for contacting AVMCoETechDesk  This is with reference to the Ticket number: ""INC000032763100"".  Issue Description: Applens ticket not generated  Information Provided:  As discussed on Skype, as checked from the back end the ticket id WO0000004110747 is not available in the back end.  The ticket will be available in the back end only if the ticket is manually created in the portal or uploaded.   We are resolving the ticket from our end.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk",439435 12/26/2018 12:30:17 PM  In Progress  Vishnu Priya K    673898 12/26/2018 12:03:09 PM  In Progress  Subhashini S   ,Applens Ticket is not Generated when i am entering workorder in my Account.the same workorder is not created in Applens. Because of Workorder is not created in Applens i am not able to update hours for past one week and this week,"AR_ESCALATOR 1/1/2019 3:01:48 AM  Case INC000032763100 was automatically closed on 1/1/2019 2:01:43 AM.      439435 12/26/2018 1:38:04 PM  Hi Vinoth,  Thank you for contacting AVMCoETechDesk  This is with reference to the Ticket number: ""INC000032763100"".  Issue Description: Applens ticket not generated  Information Provided:  As discussed on Skype, as checked from the back end the ticket id WO0000004110747 is not available in the back end.  The ticket will be available in the back end only if the ticket is manually created in the portal or uploaded.   We are resolving the ticket from our end.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk   Vishnu Priya K   ",AppLensLite,475
